Date,Predicted Stock Price,Real Stock Price
03-13,1452.8994,1277.5
03-14,1452.902,1351.61
03-15,1452.9031,1399.42
03-16,1452.9039,1359.23
03-17,1452.9048,1350.2
03-18,1452.9048,1277.06
03-19,1452.9028,1205.3
03-20,1452.8964,1260.0
03-21,1452.8843,1249.7
03-22,1452.8645,1126.0
03-23,1452.8251,1179.0
03-24,1452.7443,1096.0
03-25,1452.5708,1093.11
03-26,1452.2323,1056.51
03-27,1451.5686,1093.05
03-28,1450.1661,1135.72
03-29,1447.5099,1061.32
03-30,1442.7494,1103.77
03-31,1434.5203,1126.47
04-01,1422.2205,1111.8
04-02,1406.7161,1125.67
04-03,1388.2744,1125.04
04-04,1366.2244,1147.3
04-05,1340.3888,1122.0
04-06,1311.1322,1098.26
04-07,1278.9072,1119.02
04-08,1245.2363,1138.0
04-09,1214.234,1221.0
04-10,1194.0323,1206.5
04-11,1187.8369,1224.08
